X,Y,waypointna,animalid,latitude,longitude,date,time,oldwaypoin,elevation,type,loc,visual,influenced,before_aft,totalmove,behavior,distobs,distburrow,distcover,plantsinfi,plant1,plant2,plant3,plant4,plant5,plant6,obs,season,Reproducti,indpresent,note,datum,post_note,totallocsa,recordedco,morning,late_morni,burrow_not,X_UTM12N,Y_UTM12N
508951.980720529,3524138.95948702,01.21.17.220,100.000000,31.852937,-110.905376,2017/01/21,1899/12/30,,NA,Telemetry,7.000000,0.000000,NA,NA,NA,in burrow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ADB,M,NA,0.000000,"no bars; unable to isolate, point not measured with GPS",NAD27,"unsure about time; guessed based on field journal",0.000000,0.000000,0.000000,0.000000,,508951.98072100000,3524138.95948999980
508901.379348992,3524124.19151913,01.24.17.220.2,100.000000,31.852804,-110.905911,2017/01/24,1899/12/30,220.1.24,NA,Telemetry,7.000000,0.000000,NA,NA,NA,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,M,NA,0.000000,,NAD27,,0.000000,0.000000,0.000000,0.000000,,508901.37934900000,3524124.19151999988
508928.201959163,3524176.54792353,02.04.17.220,100.000000,31.853276,-110.905627,2017/02/04,1899/12/30,220.2.04,NA,Telemetry,7.000000,1.000000,NA,NA,NA,at burrow,NA,0,NA,tree,tree,NA,NA,NA,NA,NA,ADB,M,NA,0.000000,"burrow, climb tree",,,0.000000,0.000000,0.000000,0.000000,,508928.20195900003,3524176.54791999981
509015.392336891,3524109.74209634,02.07.17.220,100.000000,31.852673,-110.904706,2017/02/07,1899/12/30,220.2.07,NA,Telemetry,7.000000,0.000000,NA,NA,NA,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,M,NA,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,509015.39233700000,3524109.74209999992
511120.834849343,3523096.31720678,02.28.17.101,101.000000,31.843511,-110.882463,2017/02/28,1899/12/30,2.28.17.237,"1,040.00",Telemetry,15.000000,0.000000,NA,NA,NA,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,B,0,0.000000,don't see any main holes but think she's underground,WGS84,,1.000000,1.000000,0.000000,1.000000,not even sure she's underground,511120.83484899998,3523096.31721000001
511106.067516252,3523085.56084279,03.23.17.101,101.000000,31.843414,-110.882619,2017/03/23,1899/12/30,3.23.237,"1,036.00",Telemetry,15.000000,0.000000,NA,NA,NA,in burrow,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,ADB,B,0,0.000000,in burrow/vegetation,WGS84,,1.000000,1.000000,0.000000,1.000000,,511106.06751600001,3523085.56083999993
511182.836954596,3522965.46257151,03.28.17.101,101.000000,31.842330,-110.881809,2017/03/28,1899/12/30,03.28.237,"1,043.15",Telemetry,15.000000,0.000000,1,NA,NA,in burrow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ADB,B,0,0.000000,,WGS84,,1.000000,1.000000,0.000000,1.000000,,511182.83695500001,3522965.46256999997
511190.870308872,3523060.67063768,04.06.17.101.2,101.000000,31.843189,-110.881723,2017/04/06,1899/12/30,4.6.15.2,"1,039.30",Telemetry,15.000000,0.000000,1,NA,NA,in burrow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ADB,B,0,0.000000,found her shortly later in a burrow,WGS84,,1.000000,1.000000,0.000000,1.000000,,511190.87030900002,3523060.67064000014
513138.89628537,3520339.09927478,04.06.17.104,104.000000,31.818614,-110.861171,2017/04/06,1899/12/30,4.6.31.2,"1,132.07",Telemetry,32.000000,1.000000,NA,NA,NA,in burrow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ADB,B,0,0.000000,glimpse but unsure,WGS84,,0.000000,0.000000,0.000000,0.000000,,513138.89628500002,3520339.09927000012
512012.434856585,3522320.1146108,04.11.17.103,103.000000,31.836499,-110.873049,2017/04/11,1899/12/30,4.11.25.2,"1,071.51",Telemetry/visual,25.000000,1.000000,NA,NA,NA,at burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,B,1,0.000000,at large burrow,WGS84,,0.000000,0.000000,0.000000,0.000000,,512012.43485700001,3522320.11461000005
508794.602325533,3524195.88730312,04.13.17.105,105.000000,31.853452,-110.907039,2017/04/13,1899/12/30,4.13.232,972.97,Telemetry/visual,5.000000,1.000000,0,NA,NA,at burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,B,1,0.000000,"in burrow, tail flick, ran off",WGS84,,0.000000,0.000000,0.000000,0.000000,,508794.60232599999,3524195.88730000006
513107.568238287,3520340.54566018,04.13.17.104,104.000000,31.818627,-110.861502,2017/04/13,1899/12/30,4.13.31.2,"1,129.43",Telemetry,32.000000,0.000000,NA,NA,NA,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,B,0,0.000000,waited,WGS84,,0.000000,0.000000,0.000000,0.000000,,513107.56823799998,3520340.54565999983
513185.458979673,3520487.30489284,04.20.17.104,104.000000,31.819951,-110.860677,2017/04/20,1899/12/30,4.20.31.2,"1,137.12",Telemetry,32.000000,0.000000,NA,NA,NA,in burrow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ADB,B,0,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,513185.45898000000,3520487.30488999980
